ablation,dataset,regime,split,seed,episodes,success,success_probability,mechanism_recall,coverage_false_negative,tail_failure,redundancy_rate,selection_cost,data_efficiency_proxy
minus_mechanism_taxonomy,tactile_contact_rich,deformable_gap,combined_stress,6,84,0.4524,0.4913,0.4605,0.1285,0.1047,0.1624,0.2024,0.505
minus_mechanism_taxonomy,tactile_contact_rich,irreversible_side_effect_gap,combined_stress,0,84,0.5119,0.5053,0.4632,0.1131,0.1117,0.1607,0.2024,0.4964
minus_mechanism_taxonomy,tactile_contact_rich,irreversible_side_effect_gap,combined_stress,1,84,0.4762,0.4916,0.4689,0.1152,0.1087,0.1583,0.2024,0.5073
minus_mechanism_taxonomy,tactile_contact_rich,irreversible_side_effect_gap,combined_stress,2,84,0.5119,0.4981,0.4621,0.119,0.1003,0.1668,0.2024,0.5043
minus_mechanism_taxonomy,tactile_contact_rich,irreversible_side_effect_gap,combined_stress,3,84,0.5476,0.4982,0.4558,0.1176,0.1019,0.1569,0.2024,0.5145
minus_mechanism_taxonomy,tactile_contact_rich,irreversible_side_effect_gap,combined_stress,4,84,0.4762,0.4896,0.4562,0.1257,0.1097,0.1573,0.2024,0.511
minus_mechanism_taxonomy,tactile_contact_rich,irreversible_side_effect_gap,combined_stress,5,84,0.4405,0.4876,0.4522,0.1313,0.1128,0.16,0.2024,0.4931
minus_mechanism_taxonomy,tactile_contact_rich,irreversible_side_effect_gap,combined_stress,6,84,0.5476,0.504,0.4439,0.1204,0.1089,0.1621,0.2024,0.4967
minus_mechanism_taxonomy,tactile_contact_rich,combined_coverage_gap,combined_stress,0,84,0.5,0.4565,0.4529,0.1607,0.1093,0.1622,0.2024,0.5042
minus_mechanism_taxonomy,tactile_contact_rich,combined_coverage_gap,combined_stress,1,84,0.4286,0.4554,0.4529,0.1622,0.1236,0.1584,0.2024,0.5108
minus_mechanism_taxonomy,tactile_contact_rich,combined_coverage_gap,combined_stress,2,84,0.4643,0.4433,0.463,0.1701,0.1204,0.1639,0.2024,0.4903
minus_mechanism_taxonomy,tactile_contact_rich,combined_coverage_gap,combined_stress,3,84,0.4405,0.4511,0.4696,0.1649,0.1114,0.1641,0.2024,0.4974
minus_mechanism_taxonomy,tactile_contact_rich,combined_coverage_gap,combined_stress,4,84,0.4524,0.4556,0.4573,0.1727,0.1156,0.1623,0.2024,0.5037
minus_mechanism_taxonomy,tactile_contact_rich,combined_coverage_gap,combined_stress,5,84,0.4286,0.4438,0.4438,0.1782,0.1225,0.1573,0.2024,0.485
minus_mechanism_taxonomy,tactile_contact_rich,combined_coverage_gap,combined_stress,6,84,0.4167,0.4524,0.458,0.1695,0.1162,0.155,0.2024,0.5144
minus_mechanism_taxonomy,deformable_objects,nominal_coverage,combined_stress,0,84,0.5357,0.5641,0.4655,0.0292,0.052,0.1615,0.2024,0.5045
minus_mechanism_taxonomy,deformable_objects,nominal_coverage,combined_stress,1,84,0.5595,0.561,0.4642,0.0341,0.0556,0.1594,0.2024,0.5019
minus_mechanism_taxonomy,deformable_objects,nominal_coverage,combined_stress,2,84,0.5714,0.5418,0.464,0.0352,0.048,0.1643,0.2024,0.5066
minus_mechanism_taxonomy,deformable_objects,nominal_coverage,combined_stress,3,84,0.5714,0.5543,0.4777,0.0379,0.0485,0.1545,0.2024,0.5056
minus_mechanism_taxonomy,deformable_objects,nominal_coverage,combined_stress,4,84,0.5595,0.5476,0.4585,0.0277,0.0463,0.1655,0.2024,0.5046
minus_mechanism_taxonomy,deformable_objects,nominal_coverage,combined_stress,5,84,0.4881,0.5483,0.464,0.0425,0.0625,0.1626,0.2024,0.4958
minus_mechanism_taxonomy,deformable_objects,nominal_coverage,combined_stress,6,84,0.5357,0.5454,0.4495,0.0355,0.0534,0.155,0.2024,0.4898
minus_mechanism_taxonomy,deformable_objects,contact_transition_gap,combined_stress,0,84,0.4881,0.4948,0.4443,0.1197,0.1018,0.1579,0.2024,0.5045
minus_mechanism_taxonomy,deformable_objects,contact_transition_gap,combined_stress,1,84,0.4881,0.4843,0.4534,0.1223,0.1066,0.1655,0.2024,0.5118
minus_mechanism_taxonomy,deformable_objects,contact_transition_gap,combined_stress,2,84,0.5238,0.4933,0.4492,0.1212,0.0995,0.1564,0.2024,0.5027
minus_mechanism_taxonomy,deformable_objects,contact_transition_gap,combined_stress,3,84,0.4643,0.4925,0.4556,0.1339,0.1042,0.1569,0.2024,0.5069
minus_mechanism_taxonomy,deformable_objects,contact_transition_gap,combined_stress,4,84,0.5476,0.4943,0.4521,0.1218,0.1004,0.1623,0.2024,0.5015
minus_mechanism_taxonomy,deformable_objects,contact_transition_gap,combined_stress,5,84,0.5,0.4893,0.4666,0.1286,0.0993,0.1553,0.2024,0.4803
minus_mechanism_taxonomy,deformable_objects,contact_transition_gap,combined_stress,6,84,0.5119,0.4942,0.4723,0.1226,0.093,0.1658,0.2024,0.5196
minus_mechanism_taxonomy,deformable_objects,force_tactile_gap,combined_stress,0,84,0.5595,0.5156,0.455,0.1192,0.0965,0.1599,0.2024,0.5105
minus_mechanism_taxonomy,deformable_objects,force_tactile_gap,combined_stress,1,84,0.4405,0.5004,0.4576,0.1175,0.0963,0.1677,0.2024,0.5076
minus_mechanism_taxonomy,deformable_objects,force_tactile_gap,combined_stress,2,84,0.4881,0.4985,0.4687,0.112,0.0967,0.168,0.2024,0.4938
minus_mechanism_taxonomy,deformable_objects,force_tactile_gap,combined_stress,3,84,0.5476,0.4994,0.4425,0.1036,0.1038,0.1629,0.2024,0.5079
minus_mechanism_taxonomy,deformable_objects,force_tactile_gap,combined_stress,4,84,0.5238,0.4969,0.4551,0.0978,0.0993,0.1648,0.2024,0.518
minus_mechanism_taxonomy,deformable_objects,force_tactile_gap,combined_stress,5,84,0.3929,0.5009,0.4665,0.1048,0.0993,0.1538,0.2024,0.5076
minus_mechanism_taxonomy,deformable_objects,force_tactile_gap,combined_stress,6,84,0.5,0.4907,0.4674,0.1186,0.1063,0.1647,0.2024,0.4935
minus_mechanism_taxonomy,deformable_objects,recovery_gap,combined_stress,0,84,0.4286,0.4797,0.4463,0.1231,0.1043,0.1584,0.2024,0.5046
minus_mechanism_taxonomy,deformable_objects,recovery_gap,combined_stress,1,84,0.5833,0.4865,0.4631,0.1227,0.1071,0.1575,0.2024,0.5024
minus_mechanism_taxonomy,deformable_objects,recovery_gap,combined_stress,2,84,0.4286,0.4737,0.4518,0.1231,0.1037,0.1573,0.2024,0.5174
minus_mechanism_taxonomy,deformable_objects,recovery_gap,combined_stress,3,84,0.5,0.4828,0.4665,0.1181,0.1018,0.1667,0.2024,0.5245
minus_mechanism_taxonomy,deformable_objects,recovery_gap,combined_stress,4,84,0.4881,0.4905,0.4558,0.1236,0.1021,0.1585,0.2024,0.5122
minus_mechanism_taxonomy,deformable_objects,recovery_gap,combined_stress,5,84,0.4881,0.4825,0.4481,0.1172,0.1099,0.1616,0.2024,0.5103
minus_mechanism_taxonomy,deformable_objects,recovery_gap,combined_stress,6,84,0.3452,0.4729,0.4672,0.1231,0.1052,0.1562,0.2024,0.5018
minus_mechanism_taxonomy,deformable_objects,deformable_gap,combined_stress,0,84,0.4762,0.4526,0.4571,0.1561,0.115,0.1625,0.2024,0.4911
minus_mechanism_taxonomy,deformable_objects,deformable_gap,combined_stress,1,84,0.4524,0.4555,0.4538,0.1691,0.1166,0.1639,0.2024,0.504
minus_mechanism_taxonomy,deformable_objects,deformable_gap,combined_stress,2,84,0.5595,0.451,0.4596,0.1621,0.1234,0.1656,0.2024,0.4924
minus_mechanism_taxonomy,deformable_objects,deformable_gap,combined_stress,3,84,0.4524,0.4453,0.4642,0.1662,0.1146,0.1561,0.2024,0.5098
minus_mechanism_taxonomy,deformable_objects,deformable_gap,combined_stress,4,84,0.5,0.4529,0.4657,0.1592,0.1155,0.16,0.2024,0.5029
minus_mechanism_taxonomy,deformable_objects,deformable_gap,combined_stress,5,84,0.4405,0.4578,0.4537,0.1657,0.1128,0.1604,0.2024,0.5016
minus_mechanism_taxonomy,deformable_objects,deformable_gap,combined_stress,6,84,0.4405,0.4633,0.4572,0.1561,0.1142,0.1635,0.2024,0.501
minus_mechanism_taxonomy,deformable_objects,irreversible_side_effect_gap,combined_stress,0,84,0.4167,0.4795,0.45,0.1377,0.105,0.1633,0.2024,0.5067
minus_mechanism_taxonomy,deformable_objects,irreversible_side_effect_gap,combined_stress,1,84,0.4643,0.4794,0.4472,0.1259,0.113,0.1546,0.2024,0.4887
minus_mechanism_taxonomy,deformable_objects,irreversible_side_effect_gap,combined_stress,2,84,0.5238,0.4691,0.4623,0.1282,0.1032,0.1519,0.2024,0.5118
minus_mechanism_taxonomy,deformable_objects,irreversible_side_effect_gap,combined_stress,3,84,0.5,0.4829,0.4661,0.1307,0.1118,0.1634,0.2024,0.495
minus_mechanism_taxonomy,deformable_objects,irreversible_side_effect_gap,combined_stress,4,84,0.381,0.4814,0.4428,0.1221,0.1091,0.1624,0.2024,0.4856
minus_mechanism_taxonomy,deformable_objects,irreversible_side_effect_gap,combined_stress,5,84,0.3571,0.469,0.4564,0.132,0.1164,0.164,0.2024,0.5003
minus_mechanism_taxonomy,deformable_objects,irreversible_side_effect_gap,combined_stress,6,84,0.4405,0.4803,0.4438,0.1249,0.1053,0.1548,0.2024,0.5011
minus_mechanism_taxonomy,deformable_objects,combined_coverage_gap,combined_stress,0,84,0.4643,0.4312,0.4579,0.184,0.1166,0.1571,0.2024,0.5079
minus_mechanism_taxonomy,deformable_objects,combined_coverage_gap,combined_stress,1,84,0.4762,0.4411,0.4591,0.1963,0.1226,0.1538,0.2024,0.5001
minus_mechanism_taxonomy,deformable_objects,combined_coverage_gap,combined_stress,2,84,0.4643,0.4334,0.4588,0.1871,0.1304,0.1645,0.2024,0.5041
minus_mechanism_taxonomy,deformable_objects,combined_coverage_gap,combined_stress,3,84,0.4048,0.4427,0.4571,0.1782,0.1182,0.1714,0.2024,0.5172
minus_mechanism_taxonomy,deformable_objects,combined_coverage_gap,combined_stress,4,84,0.5357,0.4424,0.464,0.1885,0.1272,0.1549,0.2024,0.5001
minus_mechanism_taxonomy,deformable_objects,combined_coverage_gap,combined_stress,5,84,0.5119,0.4373,0.467,0.1835,0.1231,0.1615,0.2024,0.5032
minus_mechanism_taxonomy,deformable_objects,combined_coverage_gap,combined_stress,6,84,0.4048,0.4327,0.4534,0.1917,0.1263,0.1563,0.2024,0.5024
minus_modality_coverage,single_arm_tabletop,nominal_coverage,combined_stress,0,84,0.5952,0.5935,0.5412,0.029,0.0528,0.1431,0.1924,0.5603
minus_modality_coverage,single_arm_tabletop,nominal_coverage,combined_stress,1,84,0.6548,0.6001,0.5525,0.0255,0.052,0.1452,0.1924,0.5568
minus_modality_coverage,single_arm_tabletop,nominal_coverage,combined_stress,2,84,0.5714,0.5961,0.5393,0.0234,0.0583,0.1443,0.1924,0.5669
minus_modality_coverage,single_arm_tabletop,nominal_coverage,combined_stress,3,84,0.5119,0.5898,0.5515,0.0277,0.0541,0.1461,0.1924,0.5618
minus_modality_coverage,single_arm_tabletop,nominal_coverage,combined_stress,4,84,0.5714,0.5914,0.5463,0.0178,0.0496,0.1471,0.1924,0.5691
minus_modality_coverage,single_arm_tabletop,nominal_coverage,combined_stress,5,84,0.5357,0.6041,0.555,0.0181,0.0507,0.1438,0.1924,0.561
minus_modality_coverage,single_arm_tabletop,nominal_coverage,combined_stress,6,84,0.6548,0.5905,0.5431,0.0203,0.052,0.1472,0.1924,0.5506
minus_modality_coverage,single_arm_tabletop,contact_transition_gap,combined_stress,0,84,0.5,0.5699,0.5356,0.0521,0.0951,0.1437,0.1924,0.5638
minus_modality_coverage,single_arm_tabletop,contact_transition_gap,combined_stress,1,84,0.5476,0.5767,0.5438,0.0555,0.0786,0.1423,0.1924,0.5675
minus_modality_coverage,single_arm_tabletop,contact_transition_gap,combined_stress,2,84,0.5357,0.5651,0.5295,0.0553,0.095,0.1459,0.1924,0.5728
minus_modality_coverage,single_arm_tabletop,contact_transition_gap,combined_stress,3,84,0.5833,0.5545,0.5299,0.0475,0.0891,0.1461,0.1924,0.5774
minus_modality_coverage,single_arm_tabletop,contact_transition_gap,combined_stress,4,84,0.5,0.5668,0.5424,0.0486,0.089,0.1504,0.1924,0.5508
minus_modality_coverage,single_arm_tabletop,contact_transition_gap,combined_stress,5,84,0.5952,0.5725,0.5195,0.0489,0.0918,0.1454,0.1924,0.5611
minus_modality_coverage,single_arm_tabletop,contact_transition_gap,combined_stress,6,84,0.5238,0.5651,0.5454,0.0483,0.0869,0.1446,0.1924,0.5608
minus_modality_coverage,single_arm_tabletop,force_tactile_gap,combined_stress,0,84,0.6071,0.5755,0.5417,0.0651,0.089,0.1497,0.1924,0.5602
minus_modality_coverage,single_arm_tabletop,force_tactile_gap,combined_stress,1,84,0.5238,0.5658,0.5497,0.0623,0.0919,0.1385,0.1924,0.5563
minus_modality_coverage,single_arm_tabletop,force_tactile_gap,combined_stress,2,84,0.631,0.5689,0.5532,0.0726,0.0913,0.1402,0.1924,0.5571
minus_modality_coverage,single_arm_tabletop,force_tactile_gap,combined_stress,3,84,0.5833,0.5651,0.5607,0.062,0.0933,0.1448,0.1924,0.5631
minus_modality_coverage,single_arm_tabletop,force_tactile_gap,combined_stress,4,84,0.5476,0.567,0.5416,0.0634,0.0897,0.1453,0.1924,0.557
minus_modality_coverage,single_arm_tabletop,force_tactile_gap,combined_stress,5,84,0.5833,0.5632,0.542,0.0658,0.104,0.1419,0.1924,0.5527
minus_modality_coverage,single_arm_tabletop,force_tactile_gap,combined_stress,6,84,0.6429,0.5629,0.5326,0.0672,0.0917,0.1444,0.1924,0.5646
minus_modality_coverage,single_arm_tabletop,recovery_gap,combined_stress,0,84,0.5952,0.5668,0.5464,0.0558,0.0964,0.1478,0.1924,0.577
minus_modality_coverage,single_arm_tabletop,recovery_gap,combined_stress,1,84,0.631,0.5539,0.5481,0.0522,0.0884,0.1419,0.1924,0.5559
minus_modality_coverage,single_arm_tabletop,recovery_gap,combined_stress,2,84,0.5952,0.5724,0.5422,0.0615,0.0959,0.1462,0.1924,0.5704
minus_modality_coverage,single_arm_tabletop,recovery_gap,combined_stress,3,84,0.631,0.5736,0.5533,0.0603,0.0893,0.1474,0.1924,0.5653
minus_modality_coverage,single_arm_tabletop,recovery_gap,combined_stress,4,84,0.619,0.5619,0.5536,0.057,0.0989,0.1459,0.1924,0.5646
minus_modality_coverage,single_arm_tabletop,recovery_gap,combined_stress,5,84,0.5952,0.5682,0.5524,0.0574,0.0921,0.1508,0.1924,0.5567
minus_modality_coverage,single_arm_tabletop,recovery_gap,combined_stress,6,84,0.6071,0.5665,0.5676,0.0619,0.0926,0.1425,0.1924,0.5516
minus_modality_coverage,single_arm_tabletop,deformable_gap,combined_stress,0,84,0.5595,0.5491,0.5629,0.0639,0.1002,0.1384,0.1924,0.5737
minus_modality_coverage,single_arm_tabletop,deformable_gap,combined_stress,1,84,0.6071,0.5636,0.5544,0.0578,0.0928,0.1459,0.1924,0.5578
minus_modality_coverage,single_arm_tabletop,deformable_gap,combined_stress,2,84,0.631,0.5521,0.5466,0.0556,0.1,0.1465,0.1924,0.5753
minus_modality_coverage,single_arm_tabletop,deformable_gap,combined_stress,3,84,0.631,0.5674,0.5503,0.061,0.1046,0.1483,0.1924,0.5612
minus_modality_coverage,single_arm_tabletop,deformable_gap,combined_stress,4,84,0.4405,0.5535,0.5152,0.056,0.0913,0.1483,0.1924,0.5729
minus_modality_coverage,single_arm_tabletop,deformable_gap,combined_stress,5,84,0.619,0.5525,0.5295,0.0545,0.1064,0.151,0.1924,0.5676
minus_modality_coverage,single_arm_tabletop,deformable_gap,combined_stress,6,84,0.5476,0.5791,0.5462,0.0626,0.0878,0.1469,0.1924,0.5621
minus_modality_coverage,single_arm_tabletop,irreversible_side_effect_gap,combined_stress,0,84,0.5476,0.5679,0.5535,0.0612,0.1012,0.1376,0.1924,0.5677
minus_modality_coverage,single_arm_tabletop,irreversible_side_effect_gap,combined_stress,1,84,0.631,0.5694,0.5457,0.0599,0.0943,0.1458,0.1924,0.5646
minus_modality_coverage,single_arm_tabletop,irreversible_side_effect_gap,combined_stress,2,84,0.6071,0.5559,0.5493,0.056,0.0951,0.1456,0.1924,0.5683
minus_modality_coverage,single_arm_tabletop,irreversible_side_effect_gap,combined_stress,3,84,0.6429,0.5603,0.5493,0.0544,0.0965,0.1407,0.1924,0.5724
minus_modality_coverage,single_arm_tabletop,irreversible_side_effect_gap,combined_stress,4,84,0.4524,0.568,0.5513,0.0503,0.0972,0.1468,0.1924,0.5558
minus_modality_coverage,single_arm_tabletop,irreversible_side_effect_gap,combined_stress,5,84,0.5476,0.5529,0.5436,0.0493,0.1043,0.1503,0.1924,0.5462
minus_modality_coverage,single_arm_tabletop,irreversible_side_effect_gap,combined_stress,6,84,0.6071,0.5792,0.5578,0.0518,0.0907,0.1532,0.1924,0.5625
minus_modality_coverage,single_arm_tabletop,combined_coverage_gap,combined_stress,0,84,0.6071,0.5435,0.5619,0.0836,0.1099,0.1447,0.1924,0.5677
minus_modality_coverage,single_arm_tabletop,combined_coverage_gap,combined_stress,1,84,0.5238,0.5453,0.5529,0.0729,0.1063,0.1469,0.1924,0.5537
minus_modality_coverage,single_arm_tabletop,combined_coverage_gap,combined_stress,2,84,0.5,0.5519,0.5323,0.0813,0.1069,0.1438,0.1924,0.5424
minus_modality_coverage,single_arm_tabletop,combined_coverage_gap,combined_stress,3,84,0.619,0.54,0.5322,0.0758,0.1078,0.1481,0.1924,0.5619
minus_modality_coverage,single_arm_tabletop,combined_coverage_gap,combined_stress,4,84,0.5714,0.549,0.5433,0.0758,0.1163,0.1422,0.1924,0.5618
minus_modality_coverage,single_arm_tabletop,combined_coverage_gap,combined_stress,5,84,0.5476,0.5494,0.5563,0.0794,0.1076,0.141,0.1924,0.5772
minus_modality_coverage,single_arm_tabletop,combined_coverage_gap,combined_stress,6,84,0.5238,0.5451,0.5521,0.0813,0.1074,0.1443,0.1924,0.5741
minus_modality_coverage,mobile_manipulation,nominal_coverage,combined_stress,0,84,0.5595,0.5809,0.5488,0.0237,0.0487,0.152,0.1924,0.5615
minus_modality_coverage,mobile_manipulation,nominal_coverage,combined_stress,1,84,0.6548,0.5762,0.5524,0.031,0.0433,0.1461,0.1924,0.5607
minus_modality_coverage,mobile_manipulation,nominal_coverage,combined_stress,2,84,0.631,0.5832,0.54,0.0262,0.057,0.1438,0.1924,0.5636
minus_modality_coverage,mobile_manipulation,nominal_coverage,combined_stress,3,84,0.4524,0.5773,0.5651,0.0186,0.0585,0.1491,0.1924,0.5593
minus_modality_coverage,mobile_manipulation,nominal_coverage,combined_stress,4,84,0.631,0.5756,0.5667,0.0223,0.0455,0.1515,0.1924,0.5627
minus_modality_coverage,mobile_manipulation,nominal_coverage,combined_stress,5,84,0.5238,0.5831,0.5396,0.0251,0.0547,0.1527,0.1924,0.5636
minus_modality_coverage,mobile_manipulation,nominal_coverage,combined_stress,6,84,0.5238,0.5765,0.5453,0.0219,0.0561,0.1411,0.1924,0.5748
minus_modality_coverage,mobile_manipulation,contact_transition_gap,combined_stress,0,84,0.4643,0.5542,0.5592,0.0494,0.0958,0.1544,0.1924,0.5553
minus_modality_coverage,mobile_manipulation,contact_transition_gap,combined_stress,1,84,0.5119,0.5458,0.5442,0.0509,0.0898,0.1376,0.1924,0.5721
minus_modality_coverage,mobile_manipulation,contact_transition_gap,combined_stress,2,84,0.5476,0.5557,0.5517,0.0627,0.0956,0.1448,0.1924,0.5644
minus_modality_coverage,mobile_manipulation,contact_transition_gap,combined_stress,3,84,0.5357,0.5514,0.5677,0.0565,0.0969,0.1419,0.1924,0.5655
minus_modality_coverage,mobile_manipulation,contact_transition_gap,combined_stress,4,84,0.5,0.5412,0.535,0.0583,0.0922,0.1491,0.1924,0.5594
minus_modality_coverage,mobile_manipulation,contact_transition_gap,combined_stress,5,84,0.5357,0.5464,0.5536,0.0547,0.0929,0.1399,0.1924,0.5606
minus_modality_coverage,mobile_manipulation,contact_transition_gap,combined_stress,6,84,0.5833,0.5577,0.5438,0.0586,0.0914,0.1418,0.1924,0.5538
minus_modality_coverage,mobile_manipulation,force_tactile_gap,combined_stress,0,84,0.5119,0.5325,0.5438,0.0737,0.1089,0.1518,0.1924,0.555
minus_modality_coverage,mobile_manipulation,force_tactile_gap,combined_stress,1,84,0.5833,0.536,0.552,0.0704,0.0951,0.1474,0.1924,0.5734
minus_modality_coverage,mobile_manipulation,force_tactile_gap,combined_stress,2,84,0.5238,0.5424,0.5238,0.0681,0.0946,0.1489,0.1924,0.5544
minus_modality_coverage,mobile_manipulation,force_tactile_gap,combined_stress,3,84,0.5476,0.5546,0.5512,0.0691,0.0968,0.1479,0.1924,0.563
minus_modality_coverage,mobile_manipulation,force_tactile_gap,combined_stress,4,84,0.5119,0.5347,0.5615,0.0702,0.101,0.1407,0.1924,0.5727
minus_modality_coverage,mobile_manipulation,force_tactile_gap,combined_stress,5,84,0.5595,0.5377,0.5587,0.0624,0.0924,0.1379,0.1924,0.5525
minus_modality_coverage,mobile_manipulation,force_tactile_gap,combined_stress,6,84,0.619,0.5343,0.5307,0.0699,0.0996,0.1438,0.1924,0.569
minus_modality_coverage,mobile_manipulation,recovery_gap,combined_stress,0,84,0.5833,0.5426,0.5253,0.0638,0.1008,0.1473,0.1924,0.5695
minus_modality_coverage,mobile_manipulation,recovery_gap,combined_stress,1,84,0.5595,0.5463,0.5415,0.0772,0.1021,0.1435,0.1924,0.5506
minus_modality_coverage,mobile_manipulation,recovery_gap,combined_stress,2,84,0.5119,0.5388,0.5476,0.0739,0.106,0.1454,0.1924,0.5627
minus_modality_coverage,mobile_manipulation,recovery_gap,combined_stress,3,84,0.4643,0.5214,0.5479,0.067,0.1052,0.1447,0.1924,0.5442
minus_modality_coverage,mobile_manipulation,recovery_gap,combined_stress,4,84,0.5714,0.5381,0.5472,0.0681,0.1046,0.144,0.1924,0.562
minus_modality_coverage,mobile_manipulation,recovery_gap,combined_stress,5,84,0.5595,0.5411,0.5466,0.0666,0.092,0.1493,0.1924,0.551
minus_modality_coverage,mobile_manipulation,recovery_gap,combined_stress,6,84,0.5238,0.5526,0.5409,0.0595,0.1028,0.1465,0.1924,0.5766
minus_modality_coverage,mobile_manipulation,deformable_gap,combined_stress,0,84,0.6429,0.5467,0.5452,0.0657,0.0928,0.1488,0.1924,0.5641
minus_modality_coverage,mobile_manipulation,deformable_gap,combined_stress,1,84,0.5714,0.5224,0.5465,0.0664,0.1066,0.1414,0.1924,0.5608
minus_modality_coverage,mobile_manipulation,deformable_gap,combined_stress,2,84,0.5833,0.5501,0.542,0.0637,0.105,0.1496,0.1924,0.5649
minus_modality_coverage,mobile_manipulation,deformable_gap,combined_stress,3,84,0.5595,0.5281,0.5352,0.0638,0.0997,0.138,0.1924,0.5592
minus_modality_coverage,mobile_manipulation,deformable_gap,combined_stress,4,84,0.4524,0.5437,0.5462,0.07,0.1018,0.1469,0.1924,0.5564
minus_modality_coverage,mobile_manipulation,deformable_gap,combined_stress,5,84,0.5476,0.5431,0.5464,0.0638,0.1081,0.1477,0.1924,0.5715
minus_modality_coverage,mobile_manipulation,deformable_gap,combined_stress,6,84,0.5357,0.547,0.5435,0.0637,0.1024,0.1529,0.1924,0.5504
minus_modality_coverage,mobile_manipulation,irreversible_side_effect_gap,combined_stress,0,84,0.5595,0.5405,0.5484,0.0606,0.0984,0.1434,0.1924,0.5594
minus_modality_coverage,mobile_manipulation,irreversible_side_effect_gap,combined_stress,1,84,0.5119,0.547,0.5608,0.0555,0.1034,0.1463,0.1924,0.5693
minus_modality_coverage,mobile_manipulation,irreversible_side_effect_gap,combined_stress,2,84,0.5238,0.5359,0.547,0.0671,0.0963,0.146,0.1924,0.5553
minus_modality_coverage,mobile_manipulation,irreversible_side_effect_gap,combined_stress,3,84,0.5,0.5329,0.5357,0.0627,0.1014,0.1476,0.1924,0.569
minus_modality_coverage,mobile_manipulation,irreversible_side_effect_gap,combined_stress,4,84,0.4881,0.5358,0.5217,0.0598,0.1127,0.144,0.1924,0.5558
minus_modality_coverage,mobile_manipulation,irreversible_side_effect_gap,combined_stress,5,84,0.5,0.5384,0.5403,0.0626,0.113,0.1379,0.1924,0.548
minus_modality_coverage,mobile_manipulation,irreversible_side_effect_gap,combined_stress,6,84,0.4643,0.5528,0.5455,0.0626,0.1037,0.146,0.1924,0.5587
minus_modality_coverage,mobile_manipulation,combined_coverage_gap,combined_stress,0,84,0.4881,0.5101,0.5587,0.0919,0.1243,0.1473,0.1924,0.5619
minus_modality_coverage,mobile_manipulation,combined_coverage_gap,combined_stress,1,84,0.5476,0.5207,0.5555,0.0929,0.113,0.1374,0.1924,0.5682
minus_modality_coverage,mobile_manipulation,combined_coverage_gap,combined_stress,2,84,0.5595,0.5169,0.5311,0.098,0.1176,0.1431,0.1924,0.568
minus_modality_coverage,mobile_manipulation,combined_coverage_gap,combined_stress,3,84,0.4405,0.5172,0.5417,0.0921,0.1129,0.1419,0.1924,0.5586
minus_modality_coverage,mobile_manipulation,combined_coverage_gap,combined_stress,4,84,0.4286,0.515,0.535,0.0831,0.1103,0.1419,0.1924,0.5576
minus_modality_coverage,mobile_manipulation,combined_coverage_gap,combined_stress,5,84,0.5119,0.5271,0.5501,0.088,0.1196,0.1439,0.1924,0.5605
minus_modality_coverage,mobile_manipulation,combined_coverage_gap,combined_stress,6,84,0.5,0.5256,0.5429,0.0832,0.11,0.1409,0.1924,0.5726
minus_modality_coverage,bimanual_manipulation,nominal_coverage,combined_stress,0,84,0.5,0.5731,0.5366,0.0267,0.0413,0.1457,0.1924,0.545
minus_modality_coverage,bimanual_manipulation,nominal_coverage,combined_stress,1,84,0.5952,0.5686,0.5323,0.0378,0.0459,0.1404,0.1924,0.5547
minus_modality_coverage,bimanual_manipulation,nominal_coverage,combined_stress,2,84,0.5119,0.5778,0.5551,0.0301,0.0415,0.1402,0.1924,0.5626
minus_modality_coverage,bimanual_manipulation,nominal_coverage,combined_stress,3,84,0.619,0.5593,0.534,0.0275,0.0595,0.1453,0.1924,0.5532
minus_modality_coverage,bimanual_manipulation,nominal_coverage,combined_stress,4,84,0.5119,0.5711,0.5535,0.0284,0.0576,0.1478,0.1924,0.5662
minus_modality_coverage,bimanual_manipulation,nominal_coverage,combined_stress,5,84,0.5714,0.5758,0.5405,0.0346,0.0449,0.1458,0.1924,0.5518
minus_modality_coverage,bimanual_manipulation,nominal_coverage,combined_stress,6,84,0.6548,0.5706,0.5428,0.028,0.0498,0.1432,0.1924,0.544
minus_modality_coverage,bimanual_manipulation,contact_transition_gap,combined_stress,0,84,0.5357,0.549,0.555,0.066,0.0937,0.1398,0.1924,0.5708
minus_modality_coverage,bimanual_manipulation,contact_transition_gap,combined_stress,1,84,0.4524,0.5479,0.5461,0.062,0.0873,0.1464,0.1924,0.5596
minus_modality_coverage,bimanual_manipulation,contact_transition_gap,combined_stress,2,84,0.5833,0.5278,0.5486,0.0674,0.0973,0.1414,0.1924,0.5641
minus_modality_coverage,bimanual_manipulation,contact_transition_gap,combined_stress,3,84,0.5,0.5491,0.5442,0.0684,0.0951,0.1444,0.1924,0.548
minus_modality_coverage,bimanual_manipulation,contact_transition_gap,combined_stress,4,84,0.4643,0.5353,0.5402,0.0561,0.0835,0.1502,0.1924,0.5502
minus_modality_coverage,bimanual_manipulation,contact_transition_gap,combined_stress,5,84,0.5595,0.5496,0.5537,0.0735,0.088,0.1442,0.1924,0.567
minus_modality_coverage,bimanual_manipulation,contact_transition_gap,combined_stress,6,84,0.6548,0.5512,0.5556,0.0597,0.0938,0.1409,0.1924,0.5523
